"","cancer_type","agg_level","feature_group_name_proper","value","metric","r"
"1","blood","99.","all",0.529465849091044,"ROC AUC",5
"2","blood","99.","all",0.527090192472806,"ROC AUC",5
"3","blood","99.","all",0.534668766943624,"ROC AUC",5
"4","blood","99.","all",0.539450502646755,"ROC AUC",5
"5","blood","99.","all",0.528188781546408,"ROC AUC",5
"6","blood","99.","all",0.549251945347729,"ROC AUC",5
"7","blood","99.","all",0.534863470730207,"ROC AUC",5
"8","blood","99.","all",0.548172285808933,"ROC AUC",5
"9","blood","99.","all",0.516593089367686,"ROC AUC",5
"10","blood","99.","all",0.540979738637209,"ROC AUC",5
"11","blood","99.","all",0.552607881447028,"ROC AUC",5
"12","blood","99.","all",0.575472731329056,"ROC AUC",5
"13","blood","99.","all",0.560609666231738,"ROC AUC",5
"14","blood","99.","all",0.537766450103774,"ROC AUC",5
"15","blood","99.","all",0.546060966623174,"ROC AUC",5
"16","blood","99.","all",0.553693625479154,"ROC AUC",5
"17","blood","99.","all",0.544236294678773,"ROC AUC",5
"18","blood","99.","all",0.543696802936782,"ROC AUC",5
"19","blood","99.","all",0.537179634524767,"ROC AUC",5
"20","blood","99.","all",0.510954116159738,"ROC AUC",5
"21","blood","99.","all",0.538781208380375,"ROC AUC",5
"22","blood","99.","all",0.536814564924924,"ROC AUC",5
"23","blood","99.","all",0.554055314804924,"ROC AUC",5
"24","blood","99.","all",0.528938526335715,"ROC AUC",5
"25","blood","99.","all",0.516770891783906,"ROC AUC",5
"26","blood","99.","all",0.538888701095885,"ROC AUC",5
"27","blood","99.","all",0.530335931637337,"ROC AUC",5
"28","blood","99.","all",0.54754423088624,"ROC AUC",5
"29","blood","99.","all",0.536755072101246,"ROC AUC",5
"30","blood","99.","all",0.521943387169832,"ROC AUC",5
"31","blood","99.5.","all",0.597456635677295,"ROC AUC",5
"32","blood","99.5.","all",0.598813720596493,"ROC AUC",5
"33","blood","99.5.","all",0.58421595848672,"ROC AUC",5
"34","blood","99.5.","all",0.587437085335164,"ROC AUC",5
"35","blood","99.5.","all",0.562754778394792,"ROC AUC",5
"36","blood","99.5.","all",0.609593706453693,"ROC AUC",5
"37","blood","99.5.","all",0.589988768952393,"ROC AUC",5
"38","blood","99.5.","all",0.603229446142967,"ROC AUC",5
"39","blood","99.5.","all",0.547360183856409,"ROC AUC",5
"40","blood","99.5.","all",0.60045418148541,"ROC AUC",5
"41","blood","99.5.","all",0.6092414363262,"ROC AUC",5
"42","blood","99.5.","all",0.564821603128055,"ROC AUC",5
"43","blood","99.5.","all",0.587669765603877,"ROC AUC",5
"44","blood","99.5.","all",0.62874498242549,"ROC AUC",5
"45","blood","99.5.","all",0.600798652274287,"ROC AUC",5
"46","blood","99.5.","all",0.601412200245419,"ROC AUC",5
"47","blood","99.5.","all",0.581959349847133,"ROC AUC",5
"48","blood","99.5.","all",0.551057070360433,"ROC AUC",5
"49","blood","99.5.","all",0.589523408414966,"ROC AUC",5
"50","blood","99.5.","all",0.614346103450427,"ROC AUC",5
"51","blood","99.5.","all",0.57214388219879,"ROC AUC",5
"52","blood","99.5.","all",0.580676358644787,"ROC AUC",5
"53","blood","99.5.","all",0.613967835527547,"ROC AUC",5
"54","blood","99.5.","all",0.582693787566814,"ROC AUC",5
"55","blood","99.5.","all",0.551059670139972,"ROC AUC",5
"56","blood","99.5.","all",0.667609086749444,"ROC AUC",5
"57","blood","99.5.","all",0.53480584846405,"ROC AUC",5
"58","blood","99.5.","all",0.514977329922423,"ROC AUC",5
"59","blood","99.5.","all",0.609631403257004,"ROC AUC",5
"60","blood","99.5.","all",0.633319294523824,"ROC AUC",5
"61","blood","99.9.","all",0.649741236207402,"ROC AUC",7
"62","blood","99.9.","all",0.702494873547505,"ROC AUC",7
"63","blood","99.9.","all",0.733709273182957,"ROC AUC",7
"64","blood","99.9.","all",0.8461576017967,"ROC AUC",7
"65","blood","99.9.","all",0.879316798489731,"ROC AUC",7
"66","blood","99.9.","all",0.767991407089151,"ROC AUC",7
"67","blood","99.9.","all",0.840054682159945,"ROC AUC",7
"68","blood","99.9.","all",0.805536568694463,"ROC AUC",7
"69","blood","99.9.","all",0.756941053933535,"ROC AUC",7
"70","blood","99.9.","all",0.750113921166553,"ROC AUC",7
"71","blood","99.9.","all",0.824813657520424,"ROC AUC",7
"72","blood","99.9.","all",0.780262344172119,"ROC AUC",7
"73","blood","99.9.","all",0.763060248022654,"ROC AUC",7
"74","blood","99.9.","all",0.816879861992644,"ROC AUC",7
"75","blood","99.9.","all",0.715815512807994,"ROC AUC",7
"76","blood","99.9.","all",0.693950786056049,"ROC AUC",7
"77","blood","99.9.","all",0.755956449565472,"ROC AUC",7
"78","blood","99.9.","all",0.673786739576213,"ROC AUC",7
"79","blood","99.9.","all",0.737973179702503,"ROC AUC",7
"80","blood","99.9.","all",0.621488786902321,"ROC AUC",7
"81","blood","99.9.","all",0.741447775282362,"ROC AUC",7
"82","blood","99.9.","all",0.664721869609088,"ROC AUC",7
"83","blood","99.9.","all",0.890887934121017,"ROC AUC",7
"84","blood","99.9.","all",0.739454154867689,"ROC AUC",7
"85","blood","99.9.","all",0.725897536047912,"ROC AUC",7
"86","blood","99.9.","all",0.795527780490186,"ROC AUC",7
"87","blood","99.9.","all",0.737338476060281,"ROC AUC",7
"88","blood","99.9.","all",0.761798977964391,"ROC AUC",7
"89","blood","99.9.","all",0.779635777756079,"ROC AUC",7
"90","blood","99.9.","all",0.674478403801712,"ROC AUC",7
"91","bone","99.","all",0.60773656776263,"ROC AUC",6
"92","bone","99.","all",0.610048783747661,"ROC AUC",6
"93","bone","99.","all",0.607284816893879,"ROC AUC",6
"94","bone","99.","all",0.585775862068966,"ROC AUC",6
"95","bone","99.","all",0.598867281475541,"ROC AUC",6
"96","bone","99.","all",0.566380646885859,"ROC AUC",6
"97","bone","99.","all",0.594712643678161,"ROC AUC",6
"98","bone","99.","all",0.593504410585405,"ROC AUC",6
"99","bone","99.","all",0.599045041432772,"ROC AUC",6
"100","bone","99.","all",0.609817562149158,"ROC AUC",6
