"","chr","from","to","data_type","target","cancer_type","labeling_type","repeat"
"1","1",11800000,11900000,"train","X0","brain","99.9.",1
"2","1",2.6e+07,26100000,"train","X0","brain","99.9.",1
"3","1",63400000,63500000,"train","X0","brain","99.9.",1
"4","1",63500000,63600000,"train","X0","brain","99.9.",1
"5","1",78100000,78200000,"train","X0","brain","99.9.",1
"6","1",78900000,7.9e+07,"train","X0","brain","99.9.",1
"7","1",79500000,79600000,"train","X0","brain","99.9.",1
"8","1",81800000,81900000,"train","X0","brain","99.9.",1
"11","1",120600000,120700000,"train","X0","brain","99.9.",1
"15","1",179600000,179700000,"train","X0","brain","99.9.",1
"16","1",182100000,182200000,"train","X0","brain","99.9.",1
"17","1",235200000,235300000,"train","X0","brain","99.9.",1
"18","2",1900000,2e+06,"train","X0","brain","99.9.",1
"19","2",2e+06,2100000,"train","X0","brain","99.9.",1
"20","2",13500000,13600000,"train","X0","brain","99.9.",1
"21","2",14100000,14200000,"train","X0","brain","99.9.",1
"22","2",14200000,14300000,"train","X0","brain","99.9.",1
"25","2",16900000,1.7e+07,"train","X0","brain","99.9.",1
"27","2",23500000,23600000,"train","X0","brain","99.9.",1
"28","2",23700000,23800000,"train","X0","brain","99.9.",1
"29","2",48200000,48300000,"train","X0","brain","99.9.",1
"31","2",50900000,5.1e+07,"train","X0","brain","99.9.",1
"32","2",5.1e+07,51100000,"train","X0","brain","99.9.",1
"33","2",56200000,56300000,"train","X0","brain","99.9.",1
"34","2",56300000,56400000,"train","X0","brain","99.9.",1
"35","2",85300000,85400000,"train","X0","brain","99.9.",1
"37","2",91700000,91800000,"train","X0","brain","99.9.",1
"39","2",110200000,110300000,"train","X0","brain","99.9.",1
"40","2",114700000,114800000,"train","X0","brain","99.9.",1
"41","2",115800000,115900000,"train","X0","brain","99.9.",1
"42","2",115900000,1.16e+08,"train","X0","brain","99.9.",1
"43","2",116500000,116600000,"train","X0","brain","99.9.",1
"44","2",119900000,1.2e+08,"train","X0","brain","99.9.",1
"45","2",1.2e+08,120100000,"train","X0","brain","99.9.",1
"48","2",120900000,1.21e+08,"train","X0","brain","99.9.",1
"49","2",1.21e+08,121100000,"train","X0","brain","99.9.",1
"51","2",121400000,121500000,"train","X0","brain","99.9.",1
"54","2",122100000,122200000,"train","X0","brain","99.9.",1
"55","2",123700000,123800000,"train","X0","brain","99.9.",1
"56","2",130800000,130900000,"train","X0","brain","99.9.",1
"58","2",152400000,152500000,"train","X0","brain","99.9.",1
"60","2",159700000,159800000,"train","X0","brain","99.9.",1
"61","2",166500000,166600000,"train","X0","brain","99.9.",1
"62","2",170300000,170400000,"train","X0","brain","99.9.",1
"65","2",187100000,187200000,"train","X0","brain","99.9.",1
"66","2",187200000,187300000,"train","X0","brain","99.9.",1
"69","2",233200000,233300000,"train","X0","brain","99.9.",1
"71","3",1600000,1700000,"train","X0","brain","99.9.",1
"72","3",3500000,3600000,"train","X0","brain","99.9.",1
"73","3",3800000,3900000,"train","X0","brain","99.9.",1
"77","3",47800000,47900000,"train","X0","brain","99.9.",1
"79","3",53900000,5.4e+07,"train","X0","brain","99.9.",1
"81","3",77300000,77400000,"train","X0","brain","99.9.",1
"83","3",94400000,94500000,"train","X0","brain","99.9.",1
"84","3",94500000,94600000,"train","X0","brain","99.9.",1
"85","3",112900000,1.13e+08,"train","X0","brain","99.9.",1
"86","3",113400000,113500000,"train","X0","brain","99.9.",1
"87","3",129500000,129600000,"train","X0","brain","99.9.",1
"89","3",130600000,130700000,"train","X0","brain","99.9.",1
"91","3",139600000,139700000,"train","X0","brain","99.9.",1
"92","3",139800000,139900000,"train","X0","brain","99.9.",1
"93","3",141100000,141200000,"train","X0","brain","99.9.",1
"99","4",6e+05,7e+05,"train","X0","brain","99.9.",1
"100","4",8e+05,9e+05,"train","X0","brain","99.9.",1
"101","4",1500000,1600000,"train","X0","brain","99.9.",1
"103","4",1700000,1800000,"train","X0","brain","99.9.",1
"104","4",2e+06,2100000,"train","X0","brain","99.9.",1
"105","4",6e+06,6100000,"train","X0","brain","99.9.",1
"106","4",7200000,7300000,"train","X0","brain","99.9.",1
"108","4",14700000,14800000,"train","X0","brain","99.9.",1
"109","4",18200000,18300000,"train","X0","brain","99.9.",1
"110","4",18400000,18500000,"train","X0","brain","99.9.",1
"111","4",1.9e+07,19100000,"train","X0","brain","99.9.",1
"112","4",21700000,21800000,"train","X0","brain","99.9.",1
"114","4",22600000,22700000,"train","X0","brain","99.9.",1
"115","4",22700000,22800000,"train","X0","brain","99.9.",1
"116","4",2.3e+07,23100000,"train","X0","brain","99.9.",1
"117","4",23700000,23800000,"train","X0","brain","99.9.",1
"119","4",25400000,25500000,"train","X0","brain","99.9.",1
"121","4",3e+07,30100000,"train","X0","brain","99.9.",1
"122","4",31100000,31200000,"train","X0","brain","99.9.",1
"123","4",33400000,33500000,"train","X0","brain","99.9.",1
"124","4",33500000,33600000,"train","X0","brain","99.9.",1
"125","4",37500000,37600000,"train","X0","brain","99.9.",1
"126","4",38600000,38700000,"train","X0","brain","99.9.",1
"127","4",41400000,41500000,"train","X0","brain","99.9.",1
"128","4",5.3e+07,53100000,"train","X0","brain","99.9.",1
"129","4",5.4e+07,54100000,"train","X0","brain","99.9.",1
"130","4",55100000,55200000,"train","X0","brain","99.9.",1
"131","4",55200000,55300000,"train","X0","brain","99.9.",1
"132","4",56600000,56700000,"train","X0","brain","99.9.",1
"133","4",56700000,56800000,"train","X0","brain","99.9.",1
"134","4",56800000,56900000,"train","X0","brain","99.9.",1
"135","4",5.7e+07,57100000,"train","X0","brain","99.9.",1
"136","4",57100000,57200000,"train","X0","brain","99.9.",1
"137","4",59600000,59700000,"train","X0","brain","99.9.",1
"138","4",96300000,96400000,"train","X0","brain","99.9.",1
"139","4",101900000,1.02e+08,"train","X0","brain","99.9.",1
"140","4",103100000,103200000,"train","X0","brain","99.9.",1
"141","4",107700000,107800000,"train","X0","brain","99.9.",1
"143","4",116800000,116900000,"train","X0","brain","99.9.",1
"145","4",1.24e+08,124100000,"train","X0","brain","99.9.",1
"146","4",124100000,124200000,"train","X0","brain","99.9.",1
"147","4",124500000,124600000,"train","X0","brain","99.9.",1
"148","4",1.25e+08,125100000,"train","X0","brain","99.9.",1
"150","4",126800000,126900000,"train","X0","brain","99.9.",1
"153","4",128300000,128400000,"train","X0","brain","99.9.",1
"158","4",154600000,154700000,"train","X0","brain","99.9.",1
"159","4",159500000,159600000,"train","X0","brain","99.9.",1
"161","4",162800000,162900000,"train","X0","brain","99.9.",1
"163","4",164300000,164400000,"train","X0","brain","99.9.",1
"164","4",164400000,164500000,"train","X0","brain","99.9.",1
"166","4",164800000,164900000,"train","X0","brain","99.9.",1
"167","4",166400000,166500000,"train","X0","brain","99.9.",1
"168","4",169400000,169500000,"train","X0","brain","99.9.",1
"169","4",169500000,169600000,"train","X0","brain","99.9.",1
"173","4",171700000,171800000,"train","X0","brain","99.9.",1
"175","4",175800000,175900000,"train","X0","brain","99.9.",1
"176","4",176100000,176200000,"train","X0","brain","99.9.",1
"177","4",188400000,188500000,"train","X0","brain","99.9.",1
"179","4",189500000,189600000,"train","X0","brain","99.9.",1
"180","4",190600000,190700000,"train","X0","brain","99.9.",1
"181","5",1400000,1500000,"train","X0","brain","99.9.",1
"182","5",5800000,5900000,"train","X0","brain","99.9.",1
"183","5",5900000,6e+06,"train","X0","brain","99.9.",1
"185","5",18500000,18600000,"train","X0","brain","99.9.",1
"187","5",50700000,50800000,"train","X0","brain","99.9.",1
"189","5",56500000,56600000,"train","X0","brain","99.9.",1
"190","5",81500000,81600000,"train","X0","brain","99.9.",1
"191","5",85700000,85800000,"train","X0","brain","99.9.",1
"192","5",96100000,96200000,"train","X0","brain","99.9.",1
"193","5",98400000,98500000,"train","X0","brain","99.9.",1
"194","5",99700000,99800000,"train","X0","brain","99.9.",1
"197","5",1.04e+08,104100000,"train","X0","brain","99.9.",1
"198","5",155100000,155200000,"train","X0","brain","99.9.",1
"201","5",179400000,179500000,"train","X0","brain","99.9.",1
"203","5",180300000,180400000,"train","X0","brain","99.9.",1
"205","6",25500000,25600000,"train","X0","brain","99.9.",1
