"","chr","from","to","data_type","target","cancer_type","labeling_type","repeat"
"3","1",4100000,4200000,"train","X0","bone","99.9.",1
"5","1",6400000,6500000,"train","X0","bone","99.9.",1
"6","1",7600000,7700000,"train","X0","bone","99.9.",1
"7","1",1.1e+07,11100000,"train","X0","bone","99.9.",1
"8","1",14800000,14900000,"train","X0","bone","99.9.",1
"9","1",15100000,15200000,"train","X0","bone","99.9.",1
"11","1",18600000,18700000,"train","X0","bone","99.9.",1
"12","1",18800000,18900000,"train","X0","bone","99.9.",1
"13","1",23900000,2.4e+07,"train","X0","bone","99.9.",1
"14","1",2.4e+07,24100000,"train","X0","bone","99.9.",1
"15","1",24400000,24500000,"train","X0","bone","99.9.",1
"16","1",26600000,26700000,"train","X0","bone","99.9.",1
"17","1",2.7e+07,27100000,"train","X0","bone","99.9.",1
"19","1",2.9e+07,29100000,"train","X0","bone","99.9.",1
"20","1",30700000,30800000,"train","X0","bone","99.9.",1
"21","1",34800000,34900000,"train","X0","bone","99.9.",1
"22","1",36700000,36800000,"train","X0","bone","99.9.",1
"24","1",37900000,3.8e+07,"train","X0","bone","99.9.",1
"25","1",38400000,38500000,"train","X0","bone","99.9.",1
"27","1",43200000,43300000,"train","X0","bone","99.9.",1
"28","1",46200000,46300000,"train","X0","bone","99.9.",1
"29","1",53600000,53700000,"train","X0","bone","99.9.",1
"30","1",55300000,55400000,"train","X0","bone","99.9.",1
"31","1",59600000,59700000,"train","X0","bone","99.9.",1
"33","1",67200000,67300000,"train","X0","bone","99.9.",1
"35","1",85500000,85600000,"train","X0","bone","99.9.",1
"36","1",88200000,88300000,"train","X0","bone","99.9.",1
"37","1",88400000,88500000,"train","X0","bone","99.9.",1
"39","1",103300000,103400000,"train","X0","bone","99.9.",1
"40","1",106500000,106600000,"train","X0","bone","99.9.",1
"41","1",111900000,1.12e+08,"train","X0","bone","99.9.",1
"42","1",112200000,112300000,"train","X0","bone","99.9.",1
"43","1",115100000,115200000,"train","X0","bone","99.9.",1
"44","1",117200000,117300000,"train","X0","bone","99.9.",1
"45","1",120500000,120600000,"train","X0","bone","99.9.",1
"48","1",143100000,143200000,"train","X0","bone","99.9.",1
"49","1",1.45e+08,145100000,"train","X0","bone","99.9.",1
"51","1",145400000,145500000,"train","X0","bone","99.9.",1
"54","1",165500000,165600000,"train","X0","bone","99.9.",1
"56","1",174600000,174700000,"train","X0","bone","99.9.",1
"58","1",182300000,182400000,"train","X0","bone","99.9.",1
"59","1",182400000,182500000,"train","X0","bone","99.9.",1
"60","1",184800000,184900000,"train","X0","bone","99.9.",1
"61","1",184900000,1.85e+08,"train","X0","bone","99.9.",1
"62","1",186300000,186400000,"train","X0","bone","99.9.",1
"65","1",192600000,192700000,"train","X0","bone","99.9.",1
"66","1",193400000,193500000,"train","X0","bone","99.9.",1
"69","1",198800000,198900000,"train","X0","bone","99.9.",1
"70","1",198900000,1.99e+08,"train","X0","bone","99.9.",1
"71","1",200300000,200400000,"train","X0","bone","99.9.",1
"72","1",202200000,202300000,"train","X0","bone","99.9.",1
"73","1",203900000,2.04e+08,"train","X0","bone","99.9.",1
"77","1",2.3e+08,230100000,"train","X0","bone","99.9.",1
"79","1",235100000,235200000,"train","X0","bone","99.9.",1
"80","1",242500000,242600000,"train","X0","bone","99.9.",1
"81","1",243100000,243200000,"train","X0","bone","99.9.",1
"83","2",1e+06,1100000,"train","X0","bone","99.9.",1
"84","2",3900000,4e+06,"train","X0","bone","99.9.",1
"85","2",4600000,4700000,"train","X0","bone","99.9.",1
"86","2",8800000,8900000,"train","X0","bone","99.9.",1
"87","2",8900000,9e+06,"train","X0","bone","99.9.",1
"89","2",10200000,10300000,"train","X0","bone","99.9.",1
"91","2",10900000,1.1e+07,"train","X0","bone","99.9.",1
"92","2",11400000,11500000,"train","X0","bone","99.9.",1
"93","2",11600000,11700000,"train","X0","bone","99.9.",1
"94","2",11700000,11800000,"train","X0","bone","99.9.",1
"97","2",1.6e+07,16100000,"train","X0","bone","99.9.",1
"99","2",16300000,16400000,"train","X0","bone","99.9.",1
"100","2",16400000,16500000,"train","X0","bone","99.9.",1
"102","2",17100000,17200000,"train","X0","bone","99.9.",1
"104","2",20400000,20500000,"train","X0","bone","99.9.",1
"105","2",51900000,5.2e+07,"train","X0","bone","99.9.",1
"108","2",64300000,64400000,"train","X0","bone","99.9.",1
"109","2",67200000,67300000,"train","X0","bone","99.9.",1
"110","2",67400000,67500000,"train","X0","bone","99.9.",1
"111","2",73800000,73900000,"train","X0","bone","99.9.",1
"112","2",73900000,7.4e+07,"train","X0","bone","99.9.",1
"115","2",8.5e+07,85100000,"train","X0","bone","99.9.",1
"116","2",85100000,85200000,"train","X0","bone","99.9.",1
"117","2",85700000,85800000,"train","X0","bone","99.9.",1
"118","2",86300000,86400000,"train","X0","bone","99.9.",1
"119","2",87700000,87800000,"train","X0","bone","99.9.",1
"121","2",92100000,92200000,"train","X0","bone","99.9.",1
"122","2",96500000,96600000,"train","X0","bone","99.9.",1
"123","2",102900000,1.03e+08,"train","X0","bone","99.9.",1
"124","2",108900000,1.09e+08,"train","X0","bone","99.9.",1
"125","2",112100000,112200000,"train","X0","bone","99.9.",1
"126","2",112200000,112300000,"train","X0","bone","99.9.",1
"127","2",112900000,1.13e+08,"train","X0","bone","99.9.",1
"128","2",114100000,114200000,"train","X0","bone","99.9.",1
"129","2",114200000,114300000,"train","X0","bone","99.9.",1
"130","2",117300000,117400000,"train","X0","bone","99.9.",1
"132","2",124600000,124700000,"train","X0","bone","99.9.",1
"133","2",129700000,129800000,"train","X0","bone","99.9.",1
"134","2",137700000,137800000,"train","X0","bone","99.9.",1
"135","2",141800000,141900000,"train","X0","bone","99.9.",1
"137","2",157200000,157300000,"train","X0","bone","99.9.",1
"138","2",1.6e+08,160100000,"train","X0","bone","99.9.",1
"139","2",1.61e+08,161100000,"train","X0","bone","99.9.",1
"140","2",161100000,161200000,"train","X0","bone","99.9.",1
"141","2",161400000,161500000,"train","X0","bone","99.9.",1
"144","2",162300000,162400000,"train","X0","bone","99.9.",1
"146","2",174100000,174200000,"train","X0","bone","99.9.",1
"148","2",179300000,179400000,"train","X0","bone","99.9.",1
"149","2",183900000,1.84e+08,"train","X0","bone","99.9.",1
"150","2",1.86e+08,186100000,"train","X0","bone","99.9.",1
"153","2",187100000,187200000,"train","X0","bone","99.9.",1
"158","2",191800000,191900000,"train","X0","bone","99.9.",1
"159","2",192400000,192500000,"train","X0","bone","99.9.",1
"161","2",197400000,197500000,"train","X0","bone","99.9.",1
"164","2",211900000,2.12e+08,"train","X0","bone","99.9.",1
"166","2",213800000,213900000,"train","X0","bone","99.9.",1
"167","2",217200000,217300000,"train","X0","bone","99.9.",1
"168","2",217700000,217800000,"train","X0","bone","99.9.",1
"169","2",2.18e+08,218100000,"train","X0","bone","99.9.",1
"170","2",218800000,218900000,"train","X0","bone","99.9.",1
"172","2",2.2e+08,220100000,"train","X0","bone","99.9.",1
"173","2",220300000,220400000,"train","X0","bone","99.9.",1
"174","2",223800000,223900000,"train","X0","bone","99.9.",1
"175","2",2.28e+08,228100000,"train","X0","bone","99.9.",1
"176","2",228100000,228200000,"train","X0","bone","99.9.",1
"177","2",228600000,228700000,"train","X0","bone","99.9.",1
"179","2",230900000,2.31e+08,"train","X0","bone","99.9.",1
"180","2",233100000,233200000,"train","X0","bone","99.9.",1
"181","2",233200000,233300000,"train","X0","bone","99.9.",1
"182","2",233300000,233400000,"train","X0","bone","99.9.",1
"183","2",233400000,233500000,"train","X0","bone","99.9.",1
"185","2",235800000,235900000,"train","X0","bone","99.9.",1
"186","2",236700000,236800000,"train","X0","bone","99.9.",1
"190","3",20500000,20600000,"train","X0","bone","99.9.",1
"192","3",4.5e+07,45100000,"train","X0","bone","99.9.",1
"193","3",48200000,48300000,"train","X0","bone","99.9.",1
"194","3",49400000,49500000,"train","X0","bone","99.9.",1
"197","3",55300000,55400000,"train","X0","bone","99.9.",1
"198","3",58100000,58200000,"train","X0","bone","99.9.",1
"200","3",65800000,65900000,"train","X0","bone","99.9.",1
"201","3",6.7e+07,67100000,"train","X0","bone","99.9.",1
"206","3",7.7e+07,77100000,"train","X0","bone","99.9.",1
"207","3",79200000,79300000,"train","X0","bone","99.9.",1
"208","3",79800000,79900000,"train","X0","bone","99.9.",1
"209","3",85100000,85200000,"train","X0","bone","99.9.",1
"211","3",88400000,88500000,"train","X0","bone","99.9.",1
"217","3",111900000,1.12e+08,"train","X0","bone","99.9.",1
"218","3",1.16e+08,116100000,"train","X0","bone","99.9.",1
"219","3",116200000,116300000,"train","X0","bone","99.9.",1
"220","3",116700000,116800000,"train","X0","bone","99.9.",1
"221","3",116800000,116900000,"train","X0","bone","99.9.",1
"222","3",120500000,120600000,"train","X0","bone","99.9.",1
"223","3",121900000,1.22e+08,"train","X0","bone","99.9.",1
"225","3",128600000,128700000,"train","X0","bone","99.9.",1
"226","3",129200000,129300000,"train","X0","bone","99.9.",1
"229","3",145100000,145200000,"train","X0","bone","99.9.",1
"232","3",167700000,167800000,"train","X0","bone","99.9.",1
"233","3",174500000,174600000,"train","X0","bone","99.9.",1
"234","3",174600000,174700000,"train","X0","bone","99.9.",1
"235","3",174700000,174800000,"train","X0","bone","99.9.",1
"237","3",177300000,177400000,"train","X0","bone","99.9.",1
"241","3",189200000,189300000,"train","X0","bone","99.9.",1
"242","3",190100000,190200000,"train","X0","bone","99.9.",1
"243","4",6100000,6200000,"train","X0","bone","99.9.",1
"245","4",20200000,20300000,"train","X0","bone","99.9.",1
"247","4",3.4e+07,34100000,"train","X0","bone","99.9.",1
"248","4",34800000,34900000,"train","X0","bone","99.9.",1
"250","4",6.4e+07,64100000,"train","X0","bone","99.9.",1
"251","4",69500000,69600000,"train","X0","bone","99.9.",1
"252","4",80900000,8.1e+07,"train","X0","bone","99.9.",1
"256","4",108800000,108900000,"train","X0","bone","99.9.",1
"257","4",109600000,109700000,"train","X0","bone","99.9.",1
"258","4",110600000,110700000,"train","X0","bone","99.9.",1
"260","4",123500000,123600000,"train","X0","bone","99.9.",1
"261","4",138700000,138800000,"train","X0","bone","99.9.",1
"262","4",139300000,139400000,"train","X0","bone","99.9.",1
"264","4",148400000,148500000,"train","X0","bone","99.9.",1
"266","4",151700000,151800000,"train","X0","bone","99.9.",1
"267","4",152200000,152300000,"train","X0","bone","99.9.",1
"268","4",160900000,1.61e+08,"train","X0","bone","99.9.",1
"270","4",170100000,170200000,"train","X0","bone","99.9.",1
"271","4",177800000,177900000,"train","X0","bone","99.9.",1
"273","4",179900000,1.8e+08,"train","X0","bone","99.9.",1
"276","4",181500000,181600000,"train","X0","bone","99.9.",1
"277","4",181600000,181700000,"train","X0","bone","99.9.",1
"278","4",181700000,181800000,"train","X0","bone","99.9.",1
"279","4",181800000,181900000,"train","X0","bone","99.9.",1
"280","4",181900000,1.82e+08,"train","X0","bone","99.9.",1
"281","4",182100000,182200000,"train","X0","bone","99.9.",1
"282","4",182200000,182300000,"train","X0","bone","99.9.",1
"284","4",182700000,182800000,"train","X0","bone","99.9.",1
"285","4",182800000,182900000,"train","X0","bone","99.9.",1
"286","4",183700000,183800000,"train","X0","bone","99.9.",1
"287","4",184600000,184700000,"train","X0","bone","99.9.",1
"288","4",188700000,188800000,"train","X0","bone","99.9.",1
"289","4",188800000,188900000,"train","X0","bone","99.9.",1
"290","4",189900000,1.9e+08,"train","X0","bone","99.9.",1
"291","5",1e+05,2e+05,"train","X0","bone","99.9.",1
"293","5",2200000,2300000,"train","X0","bone","99.9.",1
"294","5",3700000,3800000,"train","X0","bone","99.9.",1
"295","5",5800000,5900000,"train","X0","bone","99.9.",1
"296","5",7400000,7500000,"train","X0","bone","99.9.",1
"298","5",17200000,17300000,"train","X0","bone","99.9.",1
"299","5",25100000,25200000,"train","X0","bone","99.9.",1
"300","5",33200000,33300000,"train","X0","bone","99.9.",1
"302","5",43800000,43900000,"train","X0","bone","99.9.",1
"303","5",45800000,45900000,"train","X0","bone","99.9.",1
"305","5",59400000,59500000,"train","X0","bone","99.9.",1
"306","5",60100000,60200000,"train","X0","bone","99.9.",1
"308","5",78300000,78400000,"train","X0","bone","99.9.",1
"309","5",78800000,78900000,"train","X0","bone","99.9.",1
"310","5",82700000,82800000,"train","X0","bone","99.9.",1
"312","5",87300000,87400000,"train","X0","bone","99.9.",1
"313","5",95600000,95700000,"train","X0","bone","99.9.",1
"314","5",95900000,9.6e+07,"train","X0","bone","99.9.",1
"315","5",96600000,96700000,"train","X0","bone","99.9.",1
"316","5",97100000,97200000,"train","X0","bone","99.9.",1
"320","5",99800000,99900000,"train","X0","bone","99.9.",1
"322","5",100400000,100500000,"train","X0","bone","99.9.",1
"323","5",1.04e+08,104100000,"train","X0","bone","99.9.",1
"324","5",108800000,108900000,"train","X0","bone","99.9.",1
"325","5",110100000,110200000,"train","X0","bone","99.9.",1
"326","5",110500000,110600000,"train","X0","bone","99.9.",1
"327","5",116800000,116900000,"train","X0","bone","99.9.",1
"328","5",118800000,118900000,"train","X0","bone","99.9.",1
"329","5",119300000,119400000,"train","X0","bone","99.9.",1
"330","5",125600000,125700000,"train","X0","bone","99.9.",1
"332","5",135100000,135200000,"train","X0","bone","99.9.",1
"334","5",144600000,144700000,"train","X0","bone","99.9.",1
"336","5",145600000,145700000,"train","X0","bone","99.9.",1
"338","5",147500000,147600000,"train","X0","bone","99.9.",1
"339","5",149700000,149800000,"train","X0","bone","99.9.",1
"340","5",150700000,150800000,"train","X0","bone","99.9.",1
"341","5",151500000,151600000,"train","X0","bone","99.9.",1
"342","5",158300000,158400000,"train","X0","bone","99.9.",1
"343","5",159300000,159400000,"train","X0","bone","99.9.",1
"345","5",167900000,1.68e+08,"train","X0","bone","99.9.",1
"346","5",1.73e+08,173100000,"train","X0","bone","99.9.",1
"348","5",179700000,179800000,"train","X0","bone","99.9.",1
"349","5",180600000,180700000,"train","X0","bone","99.9.",1
"351","6",2500000,2600000,"train","X0","bone","99.9.",1
"352","6",6600000,6700000,"train","X0","bone","99.9.",1
"354","6",6800000,6900000,"train","X0","bone","99.9.",1
"355","6",8300000,8400000,"train","X0","bone","99.9.",1
"356","6",8400000,8500000,"train","X0","bone","99.9.",1
"357","6",9400000,9500000,"train","X0","bone","99.9.",1
"358","6",1.8e+07,18100000,"train","X0","bone","99.9.",1
"359","6",18200000,18300000,"train","X0","bone","99.9.",1
"360","6",19600000,19700000,"train","X0","bone","99.9.",1
"361","6",19800000,19900000,"train","X0","bone","99.9.",1
"362","6",21100000,21200000,"train","X0","bone","99.9.",1
"363","6",21200000,21300000,"train","X0","bone","99.9.",1
"365","6",26600000,26700000,"train","X0","bone","99.9.",1
"367","6",30100000,30200000,"train","X0","bone","99.9.",1
"368","6",30200000,30300000,"train","X0","bone","99.9.",1
"369","6",31300000,31400000,"train","X0","bone","99.9.",1
"371","6",32900000,3.3e+07,"train","X0","bone","99.9.",1
"372","6",3.3e+07,33100000,"train","X0","bone","99.9.",1
"373","6",35700000,35800000,"train","X0","bone","99.9.",1
"375","6",44200000,44300000,"train","X0","bone","99.9.",1
"376","6",45500000,45600000,"train","X0","bone","99.9.",1
