"","chr","from","to","data_type","target","cancer_type","labeling_type","repeat.","chr.1","from.1","to.1","data_type.1","target.1","cancer_type.1","labeling_type.1","repeat..1","chr.2","from.2","to.2","data_type.2","target.2","cancer_type.2","labeling_type.2","repeat..2","chr.3","from.3","to.3","data_type.3","target.3","cancer_type.3","labeling_type.3","repeat..3","chr.4","from.4","to.4","data_type.4","target.4","cancer_type.4","labeling_type.4","repeat..4","chr.5","from.5","to.5","data_type.5","target.5","cancer_type.5","labeling_type.5","repeat..5","chr.6","from.6","to.6","data_type.6","target.6","cancer_type.6","labeling_type.6","repeat..6","chr.7","from.7","to.7","data_type.7","target.7","cancer_type.7","labeling_type.7","repeat..7","chr.8","from.8","to.8","data_type.8","target.8","cancer_type.8","labeling_type.8","repeat..8","chr.9","from.9","to.9","data_type.9","target.9","cancer_type.9","labeling_type.9","repeat..9","chr.10","from.10","to.10","data_type.10","target.10","cancer_type.10","labeling_type.10","repeat..10","chr.11","from.11","to.11","data_type.11","target.11","cancer_type.11","labeling_type.11","repeat..11","chr.12","from.12","to.12","data_type.12","target.12","cancer_type.12","labeling_type.12","repeat..12","chr.13","from.13","to.13","data_type.13","target.13","cancer_type.13","labeling_type.13","repeat..13","chr.14","from.14","to.14","data_type.14","target.14","cancer_type.14","labeling_type.14","repeat..14","chr.15","from.15","to.15","data_type.15","target.15","cancer_type.15","labeling_type.15","repeat..15","chr.16","from.16","to.16","data_type.16","target.16","cancer_type.16","labeling_type.16","repeat..16","chr.17","from.17","to.17","data_type.17","target.17","cancer_type.17","labeling_type.17","repeat..17","chr.18","from.18","to.18","data_type.18","target.18","cancer_type.18","labeling_type.18","repeat..18","chr.19","from.19","to.19","data_type.19","target.19","cancer_type.19","labeling_type.19","repeat..19","chr.20","from.20","to.20","data_type.20","target.20","cancer_type.20","labeling_type.20","repeat..20","chr.21","from.21","to.21","data_type.21","target.21","cancer_type.21","labeling_type.21","repeat..21","chr.22","from.22","to.22","data_type.22","target.22","cancer_type.22","labeling_type.22","repeat..22","chr.23","from.23","to.23","data_type.23","target.23","cancer_type.23","labeling_type.23","repeat..23","chr.24","from.24","to.24","data_type.24","target.24","cancer_type.24","labeling_type.24","repeat..24","chr.25","from.25","to.25","data_type.25","target.25","cancer_type.25","labeling_type.25","repeat..25","chr.26","from.26","to.26","data_type.26","target.26","cancer_type.26","labeling_type.26","repeat..26","chr.27","from.27","to.27","data_type.27","target.27","cancer_type.27","labeling_type.27","repeat..27","chr.28","from.28","to.28","data_type.28","target.28","cancer_type.28","labeling_type.28","repeat..28","chr.29","from.29","to.29","data_type.29","target.29","cancer_type.29","labeling_type.29","repeat..29"
"18","2",1900000,2e+06,"train","X0","brain","99.",1,"2",1900000,2e+06,"train","X0","brain","99.",2,"2",1900000,2e+06,"train","X0","brain","99.",3,"2",2e+06,2100000,"train","X0","brain","99.",4,"2",1900000,2e+06,"train","X0","brain","99.",5,"2",13500000,13600000,"train","X0","brain","99.",6,"2",1900000,2e+06,"train","X0","brain","99.",7,"2",13500000,13600000,"train","X0","brain","99.",8,"2",1900000,2e+06,"train","X0","brain","99.",9,"2",14100000,14200000,"train","X0","brain","99.",10,"2",1900000,2e+06,"train","X0","brain","99.",11,"2",1900000,2e+06,"train","X0","brain","99.",12,"2",1900000,2e+06,"train","X0","brain","99.",13,"2",1900000,2e+06,"train","X0","brain","99.",14,"2",1900000,2e+06,"train","X0","brain","99.",15,"2",1900000,2e+06,"train","X0","brain","99.",16,"2",1900000,2e+06,"train","X0","brain","99.",17,"2",1900000,2e+06,"train","X0","brain","99.",18,"2",2e+06,2100000,"train","X0","brain","99.",19,"2",2e+06,2100000,"train","X0","brain","99.",20,"2",1900000,2e+06,"train","X0","brain","99.",21,"2",1900000,2e+06,"train","X0","brain","99.",22,"2",1900000,2e+06,"train","X0","brain","99.",23,"2",1900000,2e+06,"train","X0","brain","99.",24,"2",1900000,2e+06,"train","X0","brain","99.",25,"2",13500000,13600000,"train","X0","brain","99.",26,"2",2e+06,2100000,"train","X0","brain","99.",27,"2",1900000,2e+06,"train","X0","brain","99.",28,"2",2e+06,2100000,"train","X0","brain","99.",29,"2",1900000,2e+06,"train","X0","brain","99.",30
"19","2",2e+06,2100000,"train","X0","brain","99.",1,"2",13500000,13600000,"train","X0","brain","99.",2,"2",2e+06,2100000,"train","X0","brain","99.",3,"2",14100000,14200000,"train","X0","brain","99.",4,"2",2e+06,2100000,"train","X0","brain","99.",5,"2",14100000,14200000,"train","X0","brain","99.",6,"2",2e+06,2100000,"train","X0","brain","99.",7,"2",15900000,1.6e+07,"train","X0","brain","99.",8,"2",2e+06,2100000,"train","X0","brain","99.",9,"2",14200000,14300000,"train","X0","brain","99.",10,"2",2e+06,2100000,"train","X0","brain","99.",11,"2",2e+06,2100000,"train","X0","brain","99.",12,"2",2e+06,2100000,"train","X0","brain","99.",13,"2",14200000,14300000,"train","X0","brain","99.",14,"2",2e+06,2100000,"train","X0","brain","99.",15,"2",2e+06,2100000,"train","X0","brain","99.",16,"2",13500000,13600000,"train","X0","brain","99.",17,"2",2e+06,2100000,"train","X0","brain","99.",18,"2",14100000,14200000,"train","X0","brain","99.",19,"2",13500000,13600000,"train","X0","brain","99.",20,"2",13500000,13600000,"train","X0","brain","99.",21,"2",2e+06,2100000,"train","X0","brain","99.",22,"2",13500000,13600000,"train","X0","brain","99.",23,"2",13500000,13600000,"train","X0","brain","99.",24,"2",2e+06,2100000,"train","X0","brain","99.",25,"2",14100000,14200000,"train","X0","brain","99.",26,"2",13500000,13600000,"train","X0","brain","99.",27,"2",2e+06,2100000,"train","X0","brain","99.",28,"2",13500000,13600000,"train","X0","brain","99.",29,"2",13500000,13600000,"train","X0","brain","99.",30
"20","2",13500000,13600000,"train","X0","brain","99.",1,"2",14100000,14200000,"train","X0","brain","99.",2,"2",14100000,14200000,"train","X0","brain","99.",3,"2",14200000,14300000,"train","X0","brain","99.",4,"2",13500000,13600000,"train","X0","brain","99.",5,"2",14200000,14300000,"train","X0","brain","99.",6,"2",13500000,13600000,"train","X0","brain","99.",7,"2",16100000,16200000,"train","X0","brain","99.",8,"2",13500000,13600000,"train","X0","brain","99.",9,"2",16900000,1.7e+07,"train","X0","brain","99.",10,"2",14100000,14200000,"train","X0","brain","99.",11,"2",13500000,13600000,"train","X0","brain","99.",12,"2",14100000,14200000,"train","X0","brain","99.",13,"2",15900000,1.6e+07,"train","X0","brain","99.",14,"2",14100000,14200000,"train","X0","brain","99.",15,"2",13500000,13600000,"train","X0","brain","99.",16,"2",14100000,14200000,"train","X0","brain","99.",17,"2",13500000,13600000,"train","X0","brain","99.",18,"2",14200000,14300000,"train","X0","brain","99.",19,"2",14200000,14300000,"train","X0","brain","99.",20,"2",14100000,14200000,"train","X0","brain","99.",21,"2",13500000,13600000,"train","X0","brain","99.",22,"2",14100000,14200000,"train","X0","brain","99.",23,"2",14100000,14200000,"train","X0","brain","99.",24,"2",13500000,13600000,"train","X0","brain","99.",25,"2",14200000,14300000,"train","X0","brain","99.",26,"2",14100000,14200000,"train","X0","brain","99.",27,"2",13500000,13600000,"train","X0","brain","99.",28,"2",14100000,14200000,"train","X0","brain","99.",29,"2",14200000,14300000,"train","X0","brain","99.",30
"21","2",14100000,14200000,"train","X0","brain","99.",1,"2",15900000,1.6e+07,"train","X0","brain","99.",2,"2",14200000,14300000,"train","X0","brain","99.",3,"2",16100000,16200000,"train","X0","brain","99.",4,"2",14100000,14200000,"train","X0","brain","99.",5,"2",15900000,1.6e+07,"train","X0","brain","99.",6,"2",14200000,14300000,"train","X0","brain","99.",7,"2",16900000,1.7e+07,"train","X0","brain","99.",8,"2",16100000,16200000,"train","X0","brain","99.",9,"2",23500000,23600000,"train","X0","brain","99.",10,"2",14200000,14300000,"train","X0","brain","99.",11,"2",16900000,1.7e+07,"train","X0","brain","99.",12,"2",14200000,14300000,"train","X0","brain","99.",13,"2",16900000,1.7e+07,"train","X0","brain","99.",14,"2",15900000,1.6e+07,"train","X0","brain","99.",15,"2",14200000,14300000,"train","X0","brain","99.",16,"2",14200000,14300000,"train","X0","brain","99.",17,"2",14100000,14200000,"train","X0","brain","99.",18,"2",15900000,1.6e+07,"train","X0","brain","99.",19,"2",15900000,1.6e+07,"train","X0","brain","99.",20,"2",14200000,14300000,"train","X0","brain","99.",21,"2",14100000,14200000,"train","X0","brain","99.",22,"2",15900000,1.6e+07,"train","X0","brain","99.",23,"2",15900000,1.6e+07,"train","X0","brain","99.",24,"2",14100000,14200000,"train","X0","brain","99.",25,"2",15900000,1.6e+07,"train","X0","brain","99.",26,"2",14200000,14300000,"train","X0","brain","99.",27,"2",14200000,14300000,"train","X0","brain","99.",28,"2",14200000,14300000,"train","X0","brain","99.",29,"2",15900000,1.6e+07,"train","X0","brain","99.",30
"30","2",48500000,48600000,"train","X0","brain","99.",1,"2",16100000,16200000,"train","X0","brain","99.",2,"2",15900000,1.6e+07,"train","X0","brain","99.",3,"2",16900000,1.7e+07,"train","X0","brain","99.",4,"2",14200000,14300000,"train","X0","brain","99.",5,"2",16100000,16200000,"train","X0","brain","99.",6,"2",15900000,1.6e+07,"train","X0","brain","99.",7,"2",23500000,23600000,"train","X0","brain","99.",8,"2",16900000,1.7e+07,"train","X0","brain","99.",9,"2",48200000,48300000,"train","X0","brain","99.",10,"2",15900000,1.6e+07,"train","X0","brain","99.",11,"2",23500000,23600000,"train","X0","brain","99.",12,"2",16100000,16200000,"train","X0","brain","99.",13,"2",17600000,17700000,"train","X0","brain","99.",14,"2",16100000,16200000,"train","X0","brain","99.",15,"2",15900000,1.6e+07,"train","X0","brain","99.",16,"2",15900000,1.6e+07,"train","X0","brain","99.",17,"2",15900000,1.6e+07,"train","X0","brain","99.",18,"2",16100000,16200000,"train","X0","brain","99.",19,"2",16100000,16200000,"train","X0","brain","99.",20,"2",16100000,16200000,"train","X0","brain","99.",21,"2",15900000,1.6e+07,"train","X0","brain","99.",22,"2",16900000,1.7e+07,"train","X0","brain","99.",23,"2",16100000,16200000,"train","X0","brain","99.",24,"2",15900000,1.6e+07,"train","X0","brain","99.",25,"2",17600000,17700000,"train","X0","brain","99.",26,"2",15900000,1.6e+07,"train","X0","brain","99.",27,"2",16100000,16200000,"train","X0","brain","99.",28,"2",15900000,1.6e+07,"train","X0","brain","99.",29,"2",16100000,16200000,"train","X0","brain","99.",30
"31","2",50900000,5.1e+07,"train","X0","brain","99.",1,"2",16900000,1.7e+07,"train","X0","brain","99.",2,"2",16100000,16200000,"train","X0","brain","99.",3,"2",17600000,17700000,"train","X0","brain","99.",4,"2",16100000,16200000,"train","X0","brain","99.",5,"2",16900000,1.7e+07,"train","X0","brain","99.",6,"2",16100000,16200000,"train","X0","brain","99.",7,"2",23700000,23800000,"train","X0","brain","99.",8,"2",17600000,17700000,"train","X0","brain","99.",9,"2",48500000,48600000,"train","X0","brain","99.",10,"2",16100000,16200000,"train","X0","brain","99.",11,"2",23700000,23800000,"train","X0","brain","99.",12,"2",17600000,17700000,"train","X0","brain","99.",13,"2",23700000,23800000,"train","X0","brain","99.",14,"2",16900000,1.7e+07,"train","X0","brain","99.",15,"2",16100000,16200000,"train","X0","brain","99.",16,"2",16100000,16200000,"train","X0","brain","99.",17,"2",16100000,16200000,"train","X0","brain","99.",18,"2",16900000,1.7e+07,"train","X0","brain","99.",19,"2",16900000,1.7e+07,"train","X0","brain","99.",20,"2",16900000,1.7e+07,"train","X0","brain","99.",21,"2",16900000,1.7e+07,"train","X0","brain","99.",22,"2",17600000,17700000,"train","X0","brain","99.",23,"2",17600000,17700000,"train","X0","brain","99.",24,"2",16100000,16200000,"train","X0","brain","99.",25,"2",23500000,23600000,"train","X0","brain","99.",26,"2",16100000,16200000,"train","X0","brain","99.",27,"2",16900000,1.7e+07,"train","X0","brain","99.",28,"2",16900000,1.7e+07,"train","X0","brain","99.",29,"2",16900000,1.7e+07,"train","X0","brain","99.",30
"32","2",5.1e+07,51100000,"train","X0","brain","99.",1,"2",17600000,17700000,"train","X0","brain","99.",2,"2",16900000,1.7e+07,"train","X0","brain","99.",3,"2",23500000,23600000,"train","X0","brain","99.",4,"2",16900000,1.7e+07,"train","X0","brain","99.",5,"2",17600000,17700000,"train","X0","brain","99.",6,"2",16900000,1.7e+07,"train","X0","brain","99.",7,"2",48200000,48300000,"train","X0","brain","99.",8,"2",23500000,23600000,"train","X0","brain","99.",9,"2",50900000,5.1e+07,"train","X0","brain","99.",10,"2",16900000,1.7e+07,"train","X0","brain","99.",11,"2",48200000,48300000,"train","X0","brain","99.",12,"2",48200000,48300000,"train","X0","brain","99.",13,"2",48500000,48600000,"train","X0","brain","99.",14,"2",17600000,17700000,"train","X0","brain","99.",15,"2",16900000,1.7e+07,"train","X0","brain","99.",16,"2",16900000,1.7e+07,"train","X0","brain","99.",17,"2",16900000,1.7e+07,"train","X0","brain","99.",18,"2",17600000,17700000,"train","X0","brain","99.",19,"2",17600000,17700000,"train","X0","brain","99.",20,"2",23500000,23600000,"train","X0","brain","99.",21,"2",48200000,48300000,"train","X0","brain","99.",22,"2",23500000,23600000,"train","X0","brain","99.",23,"2",23500000,23600000,"train","X0","brain","99.",24,"2",16900000,1.7e+07,"train","X0","brain","99.",25,"2",48500000,48600000,"train","X0","brain","99.",26,"2",16900000,1.7e+07,"train","X0","brain","99.",27,"2",17600000,17700000,"train","X0","brain","99.",28,"2",23700000,23800000,"train","X0","brain","99.",29,"2",17600000,17700000,"train","X0","brain","99.",30
"33","2",56200000,56300000,"train","X0","brain","99.",1,"2",23700000,23800000,"train","X0","brain","99.",2,"2",17600000,17700000,"train","X0","brain","99.",3,"2",23700000,23800000,"train","X0","brain","99.",4,"2",17600000,17700000,"train","X0","brain","99.",5,"2",23500000,23600000,"train","X0","brain","99.",6,"2",17600000,17700000,"train","X0","brain","99.",7,"2",48500000,48600000,"train","X0","brain","99.",8,"2",48200000,48300000,"train","X0","brain","99.",9,"2",5.1e+07,51100000,"train","X0","brain","99.",10,"2",23500000,23600000,"train","X0","brain","99.",11,"2",48500000,48600000,"train","X0","brain","99.",12,"2",48500000,48600000,"train","X0","brain","99.",13,"2",5.1e+07,51100000,"train","X0","brain","99.",14,"2",23500000,23600000,"train","X0","brain","99.",15,"2",23500000,23600000,"train","X0","brain","99.",16,"2",17600000,17700000,"train","X0","brain","99.",17,"2",17600000,17700000,"train","X0","brain","99.",18,"2",23500000,23600000,"train","X0","brain","99.",19,"2",23500000,23600000,"train","X0","brain","99.",20,"2",48200000,48300000,"train","X0","brain","99.",21,"2",50900000,5.1e+07,"train","X0","brain","99.",22,"2",23700000,23800000,"train","X0","brain","99.",23,"2",23700000,23800000,"train","X0","brain","99.",24,"2",23700000,23800000,"train","X0","brain","99.",25,"2",50900000,5.1e+07,"train","X0","brain","99.",26,"2",17600000,17700000,"train","X0","brain","99.",27,"2",23700000,23800000,"train","X0","brain","99.",28,"2",48200000,48300000,"train","X0","brain","99.",29,"2",23500000,23600000,"train","X0","brain","99.",30
"35","2",85300000,85400000,"train","X0","brain","99.",1,"2",48200000,48300000,"train","X0","brain","99.",2,"2",23500000,23600000,"train","X0","brain","99.",3,"2",50900000,5.1e+07,"train","X0","brain","99.",4,"2",23500000,23600000,"train","X0","brain","99.",5,"2",23700000,23800000,"train","X0","brain","99.",6,"2",23500000,23600000,"train","X0","brain","99.",7,"2",50900000,5.1e+07,"train","X0","brain","99.",8,"2",50900000,5.1e+07,"train","X0","brain","99.",9,"2",85300000,85400000,"train","X0","brain","99.",10,"2",23700000,23800000,"train","X0","brain","99.",11,"2",50900000,5.1e+07,"train","X0","brain","99.",12,"2",50900000,5.1e+07,"train","X0","brain","99.",13,"2",56200000,56300000,"train","X0","brain","99.",14,"2",23700000,23800000,"train","X0","brain","99.",15,"2",23700000,23800000,"train","X0","brain","99.",16,"2",23500000,23600000,"train","X0","brain","99.",17,"2",23500000,23600000,"train","X0","brain","99.",18,"2",23700000,23800000,"train","X0","brain","99.",19,"2",48200000,48300000,"train","X0","brain","99.",20,"2",48500000,48600000,"train","X0","brain","99.",21,"2",56200000,56300000,"train","X0","brain","99.",22,"2",48200000,48300000,"train","X0","brain","99.",23,"2",48200000,48300000,"train","X0","brain","99.",24,"2",48200000,48300000,"train","X0","brain","99.",25,"2",5.1e+07,51100000,"train","X0","brain","99.",26,"2",23500000,23600000,"train","X0","brain","99.",27,"2",48500000,48600000,"train","X0","brain","99.",28,"2",48500000,48600000,"train","X0","brain","99.",29,"2",23700000,23800000,"train","X0","brain","99.",30
"36","2",88600000,88700000,"train","X0","brain","99.",1,"2",48500000,48600000,"train","X0","brain","99.",2,"2",23700000,23800000,"train","X0","brain","99.",3,"2",5.1e+07,51100000,"train","X0","brain","99.",4,"2",48200000,48300000,"train","X0","brain","99.",5,"2",48200000,48300000,"train","X0","brain","99.",6,"2",48200000,48300000,"train","X0","brain","99.",7,"2",88600000,88700000,"train","X0","brain","99.",8,"2",5.1e+07,51100000,"train","X0","brain","99.",9,"2",88600000,88700000,"train","X0","brain","99.",10,"2",48200000,48300000,"train","X0","brain","99.",11,"2",5.1e+07,51100000,"train","X0","brain","99.",12,"2",5.1e+07,51100000,"train","X0","brain","99.",13,"2",56300000,56400000,"train","X0","brain","99.",14,"2",48200000,48300000,"train","X0","brain","99.",15,"2",48200000,48300000,"train","X0","brain","99.",16,"2",23700000,23800000,"train","X0","brain","99.",17,"2",48200000,48300000,"train","X0","brain","99.",18,"2",48500000,48600000,"train","X0","brain","99.",19,"2",48500000,48600000,"train","X0","brain","99.",20,"2",50900000,5.1e+07,"train","X0","brain","99.",21,"2",56300000,56400000,"train","X0","brain","99.",22,"2",48500000,48600000,"train","X0","brain","99.",23,"2",48500000,48600000,"train","X0","brain","99.",24,"2",48500000,48600000,"train","X0","brain","99.",25,"2",56200000,56300000,"train","X0","brain","99.",26,"2",23700000,23800000,"train","X0","brain","99.",27,"2",50900000,5.1e+07,"train","X0","brain","99.",28,"2",50900000,5.1e+07,"train","X0","brain","99.",29,"2",48200000,48300000,"train","X0","brain","99.",30
